,open,close,high,low,vol
2018-03-16,2790.54,2752.01,2801.9,2741.47,12149764541.0
2018-03-23,2741.38,2588.26,2741.38,2585.89,11405620182.0
2018-03-29,2619.35,2640.87,2674.78,2593.06,9858034430.0
2018-04-06,2633.45,2604.47,2672.08,2553.8,11054428714.0
2018-04-13,2617.18,2656.3,2680.26,2610.79,9590411604.0
2018-04-20,2670.1,2670.14,2717.49,2660.61,10235277181.0
2018-04-27,2675.4,2669.91,2683.55,2612.67,11123513746.0
2018-05-04,2675.05,2663.42,2682.92,2594.62,11135409397.0
2018-05-11,2669.36,2727.72,2732.86,2655.2,9732319907.0
2018-05-18,2733.37,2712.97,2742.1,2701.91,9449351441.0
2018-05-25,2725.95,2721.33,2742.24,2707.38,9376012106.0
2018-06-01,2705.11,2734.62,2736.93,2676.81,9025176278.0
2018-06-08,2741.67,2779.03,2779.9,2739.51,10039301942.0
2018-06-15,2780.18,2779.66,2791.47,2761.73,12102075871.0
2018-06-22,2765.79,2754.88,2774.99,2743.19,10717900279.0
2018-06-29,2742.94,2718.37,2746.09,2691.99,10679875495.0
2018-07-06,2704.95,2759.82,2764.41,2698.95,6203973698.0
2018-07-13,2768.51,2801.31,2804.53,2768.51,9029535104.0
2018-07-20,2801.43,2801.83,2816.76,2789.24,9779737180.0
2018-07-27,2799.17,2818.82,2848.03,2795.14,10452335813.0
2018-08-03,2819.0,2840.35,2840.38,2796.34,10310707860.0
2018-08-10,2840.29,2833.28,2863.43,2825.81,8661276849.0
2018-08-17,2835.46,2850.13,2855.63,2802.49,9620151075.0
2018-08-24,2853.93,2874.69,2876.16,2850.62,8483801349.0
2018-08-31,2884.69,2901.52,2916.5,2884.69,9137859740.0
2018-09-07,2896.96,2871.68,2900.18,2864.12,8197787319.0
2018-09-14,2881.39,2904.98,2908.3,2866.78,9748868978.0
2018-09-21,2903.83,2929.67,2940.91,2886.16,9994968282.0
2018-09-28,2921.83,2913.98,2931.15,2903.28,10140600957.0
2018-10-05,2926.29,2885.57,2939.86,2869.29,10490469780.0
2018-10-12,2877.53,2767.13,2894.83,2710.51,10591719966.0
2018-10-19,2763.83,2767.78,2816.94,2749.03,10572502476.0
2018-10-26,2773.94,2658.69,2778.94,2628.16,10735488072.0
2018-11-02,2682.65,2723.06,2756.55,2603.54,10736939310.0
2018-11-09,2726.37,2781.01,2815.15,2717.94,10668408308.0
2018-11-16,2773.93,2736.27,2775.99,2670.75,10715439473.0
2018-11-23,2730.74,2632.56,2733.16,2631.09,7343997898.0
2018-11-30,2649.97,2760.17,2760.88,2649.97,10634257862.0
2018-12-07,2790.5,2633.08,2800.18,2621.53,8589096294.0
2018-12-14,2630.86,2599.95,2685.44,2583.23,10732601030.0
2018-12-21,2590.75,2416.62,2601.13,2408.55,16048648157.0
2018-12-28,2400.56,2485.74,2520.27,2346.58,9217894268.0
2019-01-04,2498.94,2531.94,2538.07,2443.96,9648365961.0
2019-01-11,2535.61,2596.26,2597.82,2524.56,11842368623.0
2019-01-18,2580.31,2670.71,2675.47,2570.41,12028396102.0
2019-01-25,2657.88,2664.76,2672.38,2612.86,9763986468.0
2019-02-01,2644.97,2706.53,2716.66,2624.06,12823326934.0
2019-02-08,2706.49,2707.88,2738.98,2681.83,10971263638.0
2019-02-15,2712.4,2775.6,2775.66,2703.79,10936477870.0
2019-02-22,2769.28,2792.67,2794.2,2764.55,8190888440.0
2019-03-01,2804.35,2803.69,2813.49,2775.13,11134057582.0
2019-03-08,2814.37,2743.07,2816.88,2722.27,10728308583.0
2019-03-15,2747.61,2822.48,2830.73,2747.61,12000606007.0
2019-03-22,2822.61,2800.71,2860.31,2800.47,11372824380.0
2019-03-29,2796.01,2834.4,2836.03,2785.02,9720601692.0
2019-04-05,2848.63,2892.74,2893.24,2848.63,9645221945.0
2019-04-12,2888.46,2907.41,2910.54,2873.33,8853364460.0
2019-04-18,2908.32,2905.03,2918.0,2891.9,8168386686.0
2019-04-26,2898.78,2939.88,2939.88,2896.35,10124835292.0
2019-05-03,2940.58,2945.64,2954.13,2900.5,10457005180.0
2019-05-10,2908.89,2881.4,2937.32,2825.39,10187474288.0
2019-05-17,2840.19,2859.53,2892.15,2801.43,9962505350.0
2019-05-24,2841.94,2826.06,2868.88,2805.49,9322770532.0
2019-05-31,2830.03,2752.06,2840.51,2750.52,8552041813.0
2019-06-07,2751.53,2873.34,2884.97,2728.81,10544655324.0
2019-06-14,2885.83,2886.98,2910.61,2874.68,8713809331.0
2019-06-21,2889.75,2950.46,2964.15,2887.3,10538150875.0
