Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2015-01-31,13010.0,6601.0,6409.0,2668.0,9988.0,5388.0,4600.0,25665.0
2015-02-28,8966.0,1775.0,7190.0,3389.0,17156.0,14526.0,2630.0,29511.0
2015-03-31,5063.0,-8618.0,13680.0,3384.0,6309.0,4827.0,1482.0,14755.0
2015-04-30,-1436.0,-19649.0,18212.0,277.0,6749.0,6351.0,398.0,5589.0
2015-05-31,-3844.0,-16767.0,12924.0,1346.0,5475.0,6106.0,-631.0,2978.0
2015-06-30,-2996.0,-16606.0,13610.0,42.0,8238.0,9969.0,-1731.0,5284.0
2015-07-31,-9547.0,-27907.0,18361.0,-1388.0,-8197.0,-7541.0,-655.0,-19131.0
2015-08-31,-9347.0,-17562.0,8215.0,-6390.0,-23513.0,-22067.0,-1446.0,-39250.0
2015-09-30,-9233.0,-14947.0,5713.0,-5032.0,-20022.0,-19535.0,-488.0,-34288.0
2015-10-31,-9815.0,-11876.0,2061.0,-2396.0,4358.0,1977.0,2381.0,-7853.0
2015-11-30,-20482.0,-19523.0,-959.0,-4459.0,-5023.0,-7505.0,2482.0,-29964.0
2015-12-31,-36806.0,-25416.0,-11390.0,-12260.0,-27058.0,-32828.0,5770.0,-76124.0
2016-01-31,-4927.0,-15549.0,10622.0,-10617.0,-5185.0,-9454.0,4269.0,-20729.0
2016-02-29,8779.0,-2322.0,11101.0,-1366.0,1189.0,-3497.0,4686.0,8602.0
2016-03-31,-9971.0,-9814.0,-157.0,3131.0,21501.0,16088.0,5413.0,14661.0
2016-04-30,-23767.0,-19442.0,-4325.0,434.0,19003.0,13424.0,5579.0,-4331.0
2016-05-31,-17369.0,-17342.0,-27.0,-1415.0,13195.0,5897.0,7297.0,-5589.0
2016-06-30,-18967.0,-14678.0,-4289.0,-4173.0,8641.0,2294.0,6348.0,-14499.0
2016-07-31,-37875.0,-31402.0,-6473.0,-1816.0,24351.0,18325.0,6026.0,-15340.0
2016-08-31,-32418.0,-24807.0,-7611.0,-588.0,23075.0,16451.0,6624.0,-9932.0
2016-09-30,-22398.0,-15377.0,-7021.0,-4229.0,17599.0,13742.0,3857.0,-9028.0
2016-10-31,-37928.0,-31452.0,-6477.0,-5058.0,10195.0,8822.0,1373.0,-32792.0
2016-11-30,-27965.0,-25929.0,-2035.0,-7595.0,-16520.0,-5693.0,-10827.0,-52080.0
2016-12-31,-33591.0,-26960.0,-6630.0,-12268.0,-10186.0,7459.0,-17644.0,-56045.0
2017-01-31,-7754.0,-10919.0,3165.0,-2233.0,21628.0,17502.0,4126.0,11641.0
2017-02-28,4405.0,-2684.0,7089.0,-121.0,23733.0,21639.0,2095.0,28017.0
2017-03-31,-14101.0,-13391.0,-710.0,-2053.0,29137.0,28261.0,875.0,12983.0
2017-04-30,-12498.0,-19556.0,7058.0,-2257.0,15061.0,12551.0,2510.0,306.0
2017-05-31,3144.0,-9228.0,12372.0,-1775.0,26335.0,23352.0,2983.0,27705.0
2017-06-30,-9412.0,-18478.0,9067.0,-2767.0,19875.0,17132.0,2743.0,7696.0
2017-07-31,-13777.0,-25525.0,11748.0,-2312.0,20408.0,18144.0,2263.0,4319.0
2017-08-31,-16476.0,-24534.0,8058.0,-3897.0,20292.0,16450.0,3842.0,-81.0
2017-09-30,-21998.0,-22609.0,611.0,-2236.0,25127.0,22422.0,2705.0,892.0
