,open,close,high,low,vol
2021-06-18,115.636,117.927,118.869,110.964,50375786.0
2021-06-25,117.5,124.463,126.179,115.566,36874417.0
2021-07-02,127.647,127.101,131.416,126.238,39971612.0
2021-07-09,127.052,124.592,127.921,118.413,32654145.0
2021-07-16,125.207,115.576,126.357,113.522,41441779.0
2021-07-23,112.988,121.428,122.41,112.343,33477724.0
2021-07-30,121.498,119.018,122.222,114.637,31618319.0
2021-08-06,119.554,122.003,125.217,117.55,28566212.0
2021-08-13,122.618,119.117,124.542,118.383,23222712.0
2021-08-20,118.274,114.852,118.324,112.611,32515820.0
2021-08-27,116.033,121.031,121.388,115.904,23771050.0
2021-09-03,121.24,124.046,124.582,119.732,18724301.0
2021-09-10,124.185,119.474,125.286,119.385,17518980.0
2021-09-17,119.732,120.506,120.506,114.654,29380920.0
2021-09-24,116.013,116.171,118.542,113.503,27980649.0
2021-10-01,115.557,110.26,116.31,108.247,43106160.0
2021-10-08,109.814,109.695,112.452,105.48,27517382.0
2021-10-15,109.288,114.852,115.626,108.862,20753130.0
2021-10-22,114.089,116.786,119.772,113.999,22652011.0
2021-10-29,117.62,120.287,123.432,116.837,28239311.0
2021-11-05,120.932,121.289,124.83,120.03,29283970.0
2021-11-12,120.694,117.52,123.283,114.257,24823608.0
2021-11-19,117.877,112.313,118.076,112.085,22755064.0
2021-11-26,112.472,106.243,112.581,102.732,33250231.0
2021-12-03,107.662,92.765,107.989,90.91,61094083.0
2021-12-10,91.277,95.383,103.07,88.301,71337729.0
2021-12-17,95.006,96.405,96.712,88.867,101032968.0
2021-12-23,94.223,98.259,99.063,92.517,45349181.0
2021-12-31,97.892,94.59,98.43,92.78,43522962.0
2022-01-07,96.0,84.42,97.17,82.65,85063535.0
2022-01-14,83.223,80.24,89.34,77.53,107798802.0
2022-01-21,78.74,71.52,80.84,71.49,117704182.0
2022-01-28,68.59,68.91,74.91,64.35,197629358.0
2022-02-04,70.06,72.75,77.56,68.2,143876052.0
2022-02-11,72.67,71.9,78.25,70.46,123104213.0
2022-02-18,71.54,64.8,75.39,63.99,103469773.0
2022-02-25,63.45,67.82,67.82,57.5,110128856.0
2022-03-04,68.07,60.23,71.38,59.7,111041179.0
2022-03-11,60.83,55.58,62.56,55.33,121576865.0
2022-03-18,55.09,65.77,65.97,51.85,155823802.0
2022-03-25,65.14,64.51,68.23,62.61,113153865.0
2022-04-01,65.42,67.54,72.005,64.52,111001920.0
2022-04-08,68.22,60.65,70.84,60.42,117540298.0
2022-04-14,59.31,58.99,63.25,58.16,88056737.0
2022-04-22,58.57,52.46,60.42,52.12,105991370.0
2022-04-29,52.04,47.13,54.62,45.89,139653215.0
2022-05-06,47.0,45.63,52.71,43.99,188769967.0
2022-05-13,44.12,43.6,44.975,35.1,316371693.0
2022-05-20,43.21,42.41,44.45,39.98,204736608.0
2022-05-27,42.54,45.41,45.44,38.62,159303719.0
2022-06-03,45.59,43.16,46.08,41.78,127059236.0
