date,ndx,inx,vol,vix,fed,t10y2y,cape,margin,arkk,margin_lag,F1_cape,mom12,F3_vix,arkk_ndx_mom,ici_anom,F7_fed,rel_mom12,s1,s2,s3,s4,s5,s6,s7,s8,f5_raw,total
2019-12-31,8733.07,3230.78,36752559983.0,13.756666666666666,1.55,0.34,30.33,579221.0,49.018,563482.0,30.33,0.3796406296406296,13.756666666666666,-0.028873179449111497,-43678.0,1.55,0.09085988887034002,93.60730593607306,95.83333333333334,75.83333333333333,75.0,0.0,0.847457627118644,16.666666666666657,69.16666666666667,28.888888888888886,61.80691316461574
2020-01-31,8991.51,3225.52,41642588989.0,13.94095238095238,1.55,0.18,30.99,561812.0,50.732,579221.0,30.99,0.30182688465347396,13.94095238095238,-0.0941234066617107,68195.0,1.55,0.10900117554508304,95.0,86.66666666666667,75.0,80.0,0.0,100.0,17.5,82.5,2.1739130434782608,78.675
2020-02-28,8461.83,2954.22,45245591112.0,13.94095238095238,1.55,0.18,30.73,545127.0,51.75,561812.0,30.73,0.19222180110545506,13.94095238095238,-0.05315682487724582,68195.0,1.55,0.13126629399284195,93.66515837104072,52.5,75.0,73.33333333333333,0.0,99.16666666666667,18.33333333333333,97.5,25.53191489361702,75.23303167420815
2020-03-31,7813.5,2584.59,95476448321.0,57.73681818181819,0.65,0.47,24.82,479291.0,43.093,545127.0,24.82,0.058916323452282704,57.73681818181819,-0.11385294347947683,24123.0,0.65,0.14705137849038596,40.54054054054054,17.5,0.0,67.5,0.0,95.0,31.66666666666667,100.0,0.0,51.60810810810811
2020-04-30,9000.51,2912.43,71183388672.0,41.453809523809525,0.05,0.44,25.93,524696.0,54.189,479291.0,25.93,0.15666083228597216,41.453809523809525,0.019417820374849182,63167.0,0.05,0.1679988932059846,55.15695067264574,40.0,0.8333333333333286,40.833333333333336,0.0,98.33333333333333,100.0,100.0,38.775510204081634,53.01472346786248
2020-05-29,9555.53,3044.31,61411575351.0,41.453809523809525,0.05,0.44,27.33,552543.0,61.525,524696.0,27.33,0.34057009298593144,41.453809523809525,0.20750126549229098,63167.0,0.05,0.23437691405814642,76.33928571428571,96.66666666666667,1.6666666666666714,62.5,48.0,97.5,100.0,100.0,74.0,72.7095238095238
2020-06-30,10156.85,3100.29,72273671162.0,31.119545454545456,0.08,0.5,28.84,584676.0,69.839,552543.0,28.84,0.32404433274063105,31.119545454545456,0.1676682564344727,72135.0,0.08,0.2701548244190821,82.66666666666667,94.16666666666667,6.666666666666671,69.16666666666667,33.333333333333314,100.0,95.83333333333333,100.0,66.66666666666666,74.28333333333333
2020-07-31,10905.88,3271.12,54487212855.0,26.840454545454545,0.09,0.44,29.6,613830.0,78.713,584676.0,29.6,0.3895000242075839,26.840454545454545,0.2751152953373128,64416.0,0.09,0.29194870524825656,87.61061946902655,100.0,8.333333333333343,82.5,53.84615384615387,97.5,90.0,100.0,76.92307692307693,80.21507261175404
2020-08-31,12110.7,3500.31,46125738432.0,22.88952380952381,0.1,0.58,31.16,645547.0,93.364,613830.0,31.16,0.5746586919776362,22.88952380952381,0.5842461778369132,47115.0,0.1,0.3785685352695316,95.59471365638767,100.0,11.666666666666671,90.83333333333333,100.0,95.0,76.66666666666667,100.0,100.0,87.8856093979442
2020-09-30,11418.06,3363.0,55234683588.0,27.64761904761905,0.09,0.56,30.84,654324.0,90.103,645547.0,30.84,0.47340262857364057,27.64761904761905,0.679544732301846,50096.0,0.09,0.3436432273494825,93.42105263157895,99.16666666666667,7.5,94.16666666666667,100.0,95.0,90.0,99.16666666666667,100.0,87.40921052631579
